Word,Frequency
Chips,49770
&,34107
Cheese,27890
Salt,24719
Crinkle,22490
Corn,22061
Original,21560
Cut,19283
Chip,18645
Chicken,15406
Sea,14145
Sour,13882
Crisps,12607
Vinegar,12402
Chilli,12389
Supreme,10961
Popd,9693
Tortilla,9580
Sensations,9429
Sweet,7883
Lime,7852
Cream,7618
Thinly,7506
And,6373
Tangy,6332
Waves,6272
Lightly,6248
Salted,6248
Soy,6121
Thai,4737
Swt,4718
Chives,4687
Honey,4661
Nacho,4658
Potato,4647
Deli,4427
Rock,4427
Pesto,3304
Basil,3304
Mozzarella,3304
ChpsHny&Jlpno,3296
Chili,3296
Swt/Chlli,3269
&Sr/Cream,3269
Ched,3268
Pot,3257
135g,3257
Splash,3252
Of,3252
SweetChili,3242
PotatoMix,3242
Orgnl,3233
Crnkle,3233
Bag,3233
Big,3233
Hot,3229
Spicy,3229
Camembert,3219
Fig,3219
Barbeque,3210
Mexican,3204
Jalapeno,3204
Light&,3188
Chp,3183
Sweet&Spcy,3177
BBQ,3177
Southern,3172
Burger,3169
Onion,3162
SourCream,3162
&Chives,3159
Crm,3159
ChpsBtroot&Ricotta,3146
Smoked,3145
Chipotle,3145
Crn,3144
Crnchers,3144
Gcamole,3144
ChpsFeta&Garlic,3138
SourCream&Herbs,3134
Veg,3134
Strws,3134
Siracha,3127
Mexicana,3115
Mystery,3114
Flavour,3114
Seasonedchicken,3114
Cream&Chives,3105
Crips,3104
Vingar,3095
Slt,3095
Sthrn,3083
BBQ&Maple,3083
FriedChicken,3083
Rings,3080
ChipCo,3010
Whlgrn,1576
Cheddr&Mstrd,1576
Co,1572
Tmato,1572
Hrb&Spce,1572
Vinegr,1550
Tasty,1539
Rst,1526
Slow,1526
Belly,1526
Pork,1526
SR,1526
Roast,1518
Mac,1512
N,1512
Chutny,1507
Mango,1507
Papadums,1507
Coconut,1506
Chilli&,1506
Snag&Sauce,1503
Truffle,1498
Sp,1498
Chilli&Lime,1495
Barbecue,1489
Stacked,1487
&OnionStacked,1483
Chs,1479
Bacon,1479
Balls,1479
Pepper,1473
S/Cream&Onion,1473
D/Style,1469
Compny,1468
Btroot,1468
Plus,1468
Jam,1468
Hony,1460
Chimuchurri,1455
Steak,1455
Box,1454
Bolognese,1451
Puffs,1448
Originl,1441
saltd,1441
OnionDip,1438
French,1438
Chikn&Garlic,1434
Aioli,1434
Whlegrn,1432
Frch/Onin,1432
Pc,1431
Garden,1419
Fries,1418
